gid,lon,lat
¤ì‚¬6152,127.0640182000,37.5710665300
¤ì‚¬5640,127.0081095000,37.4626841600
¤ì‚¬5450,126.9848757000,37.5527207700
¤ì‚¬4252,126.8488691000,37.5700759100
¤ì‚¬6846,127.1435437000,37.5172521200
¤ì‚¬5147,126.9511111000,37.5255281300
¤ì‚¬6242,127.0758528000,37.4809740200
¤ì‚¬5664,127.0066848000,37.6790015500
¤ì‚¬6363,127.0861168000,37.6702937100
¤ì‚¬6251,127.0753933000,37.5620944900
¤ì‚¬6065,127.0519915000,37.6881956700
¤ì‚¬4442,126.8722715000,37.4800677900
¤ì‚¬4644,126.8947457000,37.4982121700
¤ì‚¬5150,126.9509128000,37.5525677100
¤ì‚¬5646,127.0077548000,37.5167642600
¤ì‚¬5045,126.9399290000,37.5074485800
¤ì‚¬4643,126.8948185000,37.4891989900
¤ì‚¬5842,127.0306117000,37.4808029500
¤ì‚¬4848,126.9170906000,37.5343786200
¤ì‚¬6648,127.1208207000,37.5352085100
¤ì‚¬4841,126.9175809000,37.4712862500
¤ì‚¬4946,126.9285462000,37.5164075900
¤ì‚¬4846,126.9172309000,37.5163523000
¤ì‚¬4142,126.8383423000,37.4798826600
¤ì‚¬6345,127.0870142000,37.5080544000
¤ì‚¬5552,126.9960753000,37.5707960600
¤ì‚¬6254,127.0752398000,37.5891344000
¤ì‚¬5161,126.9501836000,37.6517117500
¤ì‚¬6744,127.1323162000,37.4991904900
¤ì‚¬4547,126.8832107000,37.5251930400
¤ì‚¬6161,127.0635444000,37.6521856400
¤ì‚¬5159,126.9503165000,37.6336856900
¤ì‚¬4943,126.9287523000,37.4893679500
¤ì‚¬6039,127.0533931000,37.4538503200
¤ì‚¬6446,127.0982803000,37.5171068400
¤ì‚¬7049,127.1660549000,37.5443586500
¤ì‚¬4945,126.9286150000,37.5073943900
¤ì‚¬7149,127.1773749000,37.5443901200
¤ì‚¬4647,126.8945274000,37.5252516000
¤ì‚¬5959,127.0409830000,37.6340732600
¤ì‚¬5047,126.9397943000,37.5254749900
¤ì‚¬5549,126.9962573000,37.5437563700
¤ì‚¬5848,127.0302730000,37.5348830600
¤ì‚¬6138,127.0647515000,37.4448790300
¤ì‚¬6050,127.0528021000,37.5529975800
¤ì‚¬6448,127.0981837000,37.5351336500
¤ì‚¬6543,127.1097369000,37.4901044300
¤ì‚¬6341,127.0872127000,37.4720006100
¤ì‚¬6441,127.0985217000,37.4720395800
¤ì‚¬5753,127.0186648000,37.5799037900
¤ì‚¬4243,126.8495738000,37.4889585600
¤ì‚¬5948,127.0415914000,37.5349275300
¤ì‚¬5153,126.9507143000,37.5796071600
¤ì‚¬4242,126.8496520000,37.4799454500
¤ì‚¬5146,126.9511771000,37.5165149100
¤ì‚¬6851,127.1433291000,37.5623192700
¤ì‚¬6948,127.1547765000,37.5353126500
¤ì‚¬6343,127.0871135000,37.4900275400
¤ì‚¬6162,127.0634917000,37.6611988000
¤ì‚¬4856,126.9165284000,37.6064833400
¤ì‚¬6243,127.0758018000,37.4899874600
¤ì‚¬6365,127.0860167000,37.6883200200
¤ì‚¬6456,127.0977961000,37.6072403400
¤ì‚¬6443,127.0984252000,37.4900665300
¤ì‚¬6644,127.1210031000,37.4991547400
¤ì‚¬3941,126.8158051000,37.4707407600
¤ì‚¬5040,126.9402653000,37.4623822800
¤ì‚¬6944,127.1549425000,37.4992587500
¤ì‚¬5560,126.9955886000,37.6429012900
¤ì‚¬6353,127.0866163000,37.5801613200
¤ì‚¬4541,126.8836553000,37.4711141600
¤ì‚¬4449,126.8717429000,37.5431595400
¤ì‚¬5357,126.9731102000,37.6157629300
¤ì‚¬4746,126.9059155000,37.5162959200
¤ì‚¬5943,127.0418669000,37.4898607400
¤ì‚¬4839,126.9177207000,37.4532597400
¤ì‚¬5745,127.0191282000,37.5077975500
¤ì‚¬6156,127.0638079000,37.6071196100
¤ì‚¬4654,126.8940166000,37.5883431200
¤ì‚¬5043,126.9400636000,37.4894221000
